model,cor.model,auc.model,oldRange,newRange,areaLoss,areaGain,species,iter
he26,0.425892889,0.867816228,0.296860892,0.382676019,0.009150603,0.09496573,Chlosyne.palla,9
he45,0.425892889,0.867816228,0.296860892,0.379940644,0.010821741,0.093901494,Chlosyne.palla,9
he85,0.425892889,0.867816228,0.296860892,0.373369977,0.015274527,0.091783613,Chlosyne.palla,9
mg26,0.425892889,0.867816228,0.296860892,0.325825154,0.006542317,0.03550658,Chlosyne.palla,9
mg45,0.425892889,0.867816228,0.296860892,0.316142308,0.012195111,0.031476527,Chlosyne.palla,9
mg85,0.425892889,0.867816228,0.296860892,0.358186653,0.008516925,0.069842686,Chlosyne.palla,9
mp26,0.425892889,0.867816228,0.296860892,0.316786699,0.01274364,0.032669448,Chlosyne.palla,9
mp45,0.425892889,0.867816228,0.296860892,0.333442989,0.00904712,0.045629217,Chlosyne.palla,9
mp85,0.425892889,0.867816228,0.296860892,0.345959031,0.013060025,0.062158164,Chlosyne.palla,9
gf26,0.436252,0.880684741,0.301733644,0.31073847,0.024112153,0.033116979,Chlosyne.palla,10
gf45,0.436252,0.880684741,0.301733644,0.307174149,0.02499015,0.030430655,Chlosyne.palla,10
gf85,0.436252,0.880684741,0.301733644,0.335468127,0.022788271,0.056522753,Chlosyne.palla,10
he26,0.436252,0.880684741,0.301733644,0.389842735,0.006634415,0.094743506,Chlosyne.palla,10
he45,0.436252,0.880684741,0.301733644,0.394381611,0.007965135,0.100613102,Chlosyne.palla,10
he85,0.436252,0.880684741,0.301733644,0.389330159,0.011866657,0.099463171,Chlosyne.palla,10
mg26,0.436252,0.880684741,0.301733644,0.339288719,0.002947038,0.040502113,Chlosyne.palla,10
mg45,0.436252,0.880684741,0.301733644,0.323780271,0.010683448,0.032730075,Chlosyne.palla,10
mg85,0.436252,0.880684741,0.301733644,0.377042353,0.003254081,0.078562791,Chlosyne.palla,10
mp26,0.436252,0.880684741,0.301733644,0.330488981,0.008253895,0.037009232,Chlosyne.palla,10
mp45,0.436252,0.880684741,0.301733644,0.350239505,0.007541265,0.056047126,Chlosyne.palla,10
mp85,0.436252,0.880684741,0.301733644,0.368242095,0.009028702,0.075537153,Chlosyne.palla,10
gf26,0.306885493,0.786553212,0.572737122,0.631249727,0.02902087,0.087533475,Erebia.epipsodea,1
gf45,0.306885493,0.786553212,0.572737122,0.626674094,0.036460042,0.090397014,Erebia.epipsodea,1
gf85,0.306885493,0.786553212,0.572737122,0.640326591,0.031762759,0.099352228,Erebia.epipsodea,1
he26,0.306885493,0.786553212,0.572737122,0.643982057,0.014690813,0.085935748,Erebia.epipsodea,1
he45,0.306885493,0.786553212,0.572737122,0.651752674,0.017742473,0.096758025,Erebia.epipsodea,1
he85,0.306885493,0.786553212,0.572737122,0.656148785,0.020875627,0.10428729,Erebia.epipsodea,1
mg26,0.306885493,0.786553212,0.572737122,0.591920744,0.016060451,0.035244074,Erebia.epipsodea,1
mg45,0.306885493,0.786553212,0.572737122,0.589236235,0.028593834,0.045092947,Erebia.epipsodea,1
mg85,0.306885493,0.786553212,0.572737122,0.626060404,0.013219215,0.066542498,Erebia.epipsodea,1
mp26,0.306885493,0.786553212,0.572737122,0.62245241,0.01016286,0.059878148,Erebia.epipsodea,1
mp45,0.306885493,0.786553212,0.572737122,0.623995921,0.017673609,0.068932408,Erebia.epipsodea,1
mp85,0.306885493,0.786553212,0.572737122,0.653528273,0.00927964,0.090070791,Erebia.epipsodea,1
gf26,0.365030398,0.83940985,0.58693206,0.647352563,0.021383706,0.081804208,Erebia.epipsodea,2
gf45,0.365030398,0.83940985,0.58693206,0.642273714,0.02744145,0.082783104,Erebia.epipsodea,2
gf85,0.365030398,0.83940985,0.58693206,0.660832058,0.021707438,0.095607436,Erebia.epipsodea,2
he26,0.365030398,0.83940985,0.58693206,0.661208491,0.011014688,0.085291119,Erebia.epipsodea,2
he45,0.365030398,0.83940985,0.58693206,0.667220764,0.014727017,0.095015721,Erebia.epipsodea,2
he85,0.365030398,0.83940985,0.58693206,0.668422615,0.020572696,0.102063252,Erebia.epipsodea,2
mg26,0.365030398,0.83940985,0.58693206,0.616850698,0.007785894,0.037704532,Erebia.epipsodea,2
mg45,0.365030398,0.83940985,0.58693206,0.615523488,0.017249568,0.045840996,Erebia.epipsodea,2
mg85,0.365030398,0.83940985,0.58693206,0.651985581,0.006433459,0.07148698,Erebia.epipsodea,2
mp26,0.365030398,0.83940985,0.58693206,0.637936372,0.007618012,0.058622324,Erebia.epipsodea,2
mp45,0.365030398,0.83940985,0.58693206,0.637811405,0.016422882,0.067302228,Erebia.epipsodea,2
mp85,0.365030398,0.83940985,0.58693206,0.664584251,0.007874381,0.085526572,Erebia.epipsodea,2
gf26,0.329779626,0.802522807,0.550582497,0.605460739,0.016519137,0.07139738,Erebia.epipsodea,3
gf45,0.329779626,0.802522807,0.550582497,0.593343661,0.025849899,0.068611064,Erebia.epipsodea,3
gf85,0.329779626,0.802522807,0.550582497,0.611483,0.018194405,0.079094909,Erebia.epipsodea,3
he26,0.329779626,0.802522807,0.550582497,0.619739322,0.008264025,0.077420851,Erebia.epipsodea,3
he45,0.329779626,0.802522807,0.550582497,0.626364051,0.01184604,0.087627594,Erebia.epipsodea,3
he85,0.329779626,0.802522807,0.550582497,0.623203383,0.017593628,0.090214515,Erebia.epipsodea,3
mg26,0.329779626,0.802522807,0.550582497,0.576852701,0.006620357,0.032890562,Erebia.epipsodea,3
mg45,0.329779626,0.802522807,0.550582497,0.576855928,0.014702434,0.040975866,Erebia.epipsodea,3
mg85,0.329779626,0.802522807,0.550582497,0.61396018,0.005657665,0.069035348,Erebia.epipsodea,3
mp26,0.329779626,0.802522807,0.550582497,0.592575208,0.010324195,0.052316906,Erebia.epipsodea,3
mp45,0.329779626,0.802522807,0.550582497,0.592015974,0.017135327,0.058568804,Erebia.epipsodea,3
mp85,0.329779626,0.802522807,0.550582497,0.622177246,0.009158905,0.080753655,Erebia.epipsodea,3
gf26,0.368142276,0.840726881,0.574026194,0.590784002,0.035156483,0.051914291,Erebia.epipsodea,4
gf45,0.368142276,0.840726881,0.574026194,0.573108194,0.047717464,0.046799464,Erebia.epipsodea,4
gf85,0.368142276,0.840726881,0.574026194,0.597674921,0.034347615,0.057996341,Erebia.epipsodea,4
he26,0.368142276,0.840726881,0.574026194,0.62843768,0.020067638,0.074479124,Erebia.epipsodea,4
he45,0.368142276,0.840726881,0.574026194,0.632140998,0.025716951,0.083831755,Erebia.epipsodea,4
he85,0.368142276,0.840726881,0.574026194,0.62529532,0.034314884,0.085584009,Erebia.epipsodea,4
mg26,0.368142276,0.840726881,0.574026194,0.588640583,0.014770042,0.02938443,Erebia.epipsodea,4
mg45,0.368142276,0.840726881,0.574026194,0.584582756,0.022736621,0.033293182,Erebia.epipsodea,4
mg85,0.368142276,0.840726881,0.574026194,0.622660594,0.014285428,0.062919828,Erebia.epipsodea,4
mp26,0.368142276,0.840726881,0.574026194,0.601415976,0.016213419,0.043603201,Erebia.epipsodea,4
mp45,0.368142276,0.840726881,0.574026194,0.597963159,0.030310596,0.054247561,Erebia.epipsodea,4
mp85,0.368142276,0.840726881,0.574026194,0.624132852,0.018409978,0.068516636,Erebia.epipsodea,4
gf26,0.337463137,0.809569809,0.54201655,0.574867587,0.020741544,0.053592581,Erebia.epipsodea,5
gf45,0.337463137,0.809569809,0.54201655,0.555151637,0.03311414,0.046249227,Erebia.epipsodea,5
gf85,0.337463137,0.809569809,0.54201655,0.573773286,0.021670963,0.0534277,Erebia.epipsodea,5
he26,0.337463137,0.809569809,0.54201655,0.588402188,0.01478446,0.061170099,Erebia.epipsodea,5
he45,0.337463137,0.809569809,0.54201655,0.593927143,0.019791293,0.071701886,Erebia.epipsodea,5
he85,0.337463137,0.809569809,0.54201655,0.591360727,0.027162337,0.076506514,Erebia.epipsodea,5
mg26,0.337463137,0.809569809,0.54201655,0.55520695,0.011534174,0.024724575,Erebia.epipsodea,5
mg45,0.337463137,0.809569809,0.54201655,0.551550569,0.019852247,0.029386267,Erebia.epipsodea,5
mg85,0.337463137,0.809569809,0.54201655,0.585563245,0.009210705,0.052757401,Erebia.epipsodea,5
mp26,0.337463137,0.809569809,0.54201655,0.567952269,0.011750105,0.037685825,Erebia.epipsodea,5
mp45,0.337463137,0.809569809,0.54201655,0.568547313,0.020339713,0.046870477,Erebia.epipsodea,5
mp85,0.337463137,0.809569809,0.54201655,0.593802215,0.010057193,0.061842858,Erebia.epipsodea,5
gf26,0.366595367,0.836969029,0.59461976,0.63912998,0.021977001,0.066487221,Erebia.epipsodea,6
gf45,0.366595367,0.836969029,0.59461976,0.628252915,0.028790088,0.062423243,Erebia.epipsodea,6
gf85,0.366595367,0.836969029,0.59461976,0.648910331,0.022808581,0.077099152,Erebia.epipsodea,6
he26,0.366595367,0.836969029,0.59461976,0.655396235,0.009688409,0.070464884,Erebia.epipsodea,6
he45,0.366595367,0.836969029,0.59461976,0.65845439,0.014216725,0.078051355,Erebia.epipsodea,6
he85,0.366595367,0.836969029,0.59461976,0.653556615,0.021887361,0.080824215,Erebia.epipsodea,6
mg26,0.366595367,0.836969029,0.59461976,0.621176225,0.008484475,0.03504094,Erebia.epipsodea,6
mg45,0.366595367,0.836969029,0.59461976,0.615661725,0.020052795,0.04109476,Erebia.epipsodea,6
mg85,0.366595367,0.836969029,0.59461976,0.661425463,0.007214741,0.074020444,Erebia.epipsodea,6
mp26,0.366595367,0.836969029,0.59461976,0.629353946,0.012359191,0.047093376,Erebia.epipsodea,6
mp45,0.366595367,0.836969029,0.59461976,0.624033518,0.022916798,0.052330555,Erebia.epipsodea,6
mp85,0.366595367,0.836969029,0.59461976,0.655184976,0.012354566,0.072919782,Erebia.epipsodea,6
gf26,0.353832956,0.827280168,0.560729986,0.60922159,0.030750414,0.079242018,Erebia.epipsodea,7
gf45,0.353832956,0.827280168,0.560729986,0.600459532,0.04205197,0.081781516,Erebia.epipsodea,7
gf85,0.353832956,0.827280168,0.560729986,0.616251234,0.033848573,0.089369822,Erebia.epipsodea,7
he26,0.353832956,0.827280168,0.560729986,0.632764149,0.018173741,0.090207904,Erebia.epipsodea,7
he45,0.353832956,0.827280168,0.560729986,0.637838116,0.021600222,0.098708352,Erebia.epipsodea,7
he85,0.353832956,0.827280168,0.560729986,0.639611173,0.026588201,0.105469389,Erebia.epipsodea,7
mg26,0.353832956,0.827280168,0.560729986,0.586007742,0.010638802,0.035916558,Erebia.epipsodea,7
mg45,0.353832956,0.827280168,0.560729986,0.58022097,0.024842032,0.044333017,Erebia.epipsodea,7
mg85,0.353832956,0.827280168,0.560729986,0.61696478,0.009546874,0.065781668,Erebia.epipsodea,7
mp26,0.353832956,0.827280168,0.560729986,0.605884755,0.011858836,0.057013605,Erebia.epipsodea,7
mp45,0.353832956,0.827280168,0.560729986,0.603739298,0.024385207,0.067394519,Erebia.epipsodea,7
mp85,0.353832956,0.827280168,0.560729986,0.632776467,0.013520071,0.085566552,Erebia.epipsodea,7
gf26,0.354571867,0.824064973,0.580280724,0.62336911,0.03269029,0.075778677,Erebia.epipsodea,8
gf45,0.354571867,0.824064973,0.580280724,0.627379289,0.033738562,0.080837127,Erebia.epipsodea,8
gf85,0.354571867,0.824064973,0.580280724,0.631389468,0.034786834,0.085895577,Erebia.epipsodea,8
he26,0.354571867,0.824064973,0.580280724,0.643569081,0.022807821,0.086096178,Erebia.epipsodea,8
he45,0.354571867,0.824064973,0.580280724,0.651467083,0.026415223,0.097601582,Erebia.epipsodea,8
he85,0.354571867,0.824064973,0.580280724,0.659365085,0.030022624,0.109106985,Erebia.epipsodea,8
mg26,0.354571867,0.824064973,0.580280724,0.594328225,0.015097859,0.02914536,Erebia.epipsodea,8
mg45,0.354571867,0.824064973,0.580280724,0.590317157,0.029494769,0.039531202,Erebia.epipsodea,8
mg85,0.354571867,0.824064973,0.580280724,0.622198591,0.014729961,0.056647827,Erebia.epipsodea,8
mp26,0.354571867,0.824064973,0.580280724,0.618210467,0.016179139,0.054108882,Erebia.epipsodea,8
mp45,0.354571867,0.824064973,0.580280724,0.620278676,0.026519923,0.066517875,Erebia.epipsodea,8
mp85,0.354571867,0.824064973,0.580280724,0.646176461,0.017222617,0.083118354,Erebia.epipsodea,8
gf26,0.361719646,0.826010863,0.569950837,0.59288839,0.035787854,0.058725407,Erebia.epipsodea,9
gf45,0.361719646,0.826010863,0.569950837,0.584020089,0.044527144,0.058596395,Erebia.epipsodea,9
gf85,0.361719646,0.826010863,0.569950837,0.592203495,0.038948276,0.061200934,Erebia.epipsodea,9
he26,0.361719646,0.826010863,0.569950837,0.607629897,0.020668719,0.058347779,Erebia.epipsodea,9
he45,0.361719646,0.826010863,0.569950837,0.613627248,0.026088251,0.069764662,Erebia.epipsodea,9
he85,0.361719646,0.826010863,0.569950837,0.611406332,0.032654607,0.074110102,Erebia.epipsodea,9
mg26,0.361719646,0.826010863,0.569950837,0.583064543,0.013416896,0.026530601,Erebia.epipsodea,9
mg45,0.361719646,0.826010863,0.569950837,0.57205629,0.028172504,0.030277957,Erebia.epipsodea,9
mg85,0.361719646,0.826010863,0.569950837,0.608458556,0.014853219,0.053360937,Erebia.epipsodea,9
mp26,0.361719646,0.826010863,0.569950837,0.59625349,0.015961924,0.042264577,Erebia.epipsodea,9
mp45,0.361719646,0.826010863,0.569950837,0.591083022,0.026409735,0.047541919,Erebia.epipsodea,9
mp85,0.361719646,0.826010863,0.569950837,0.616763176,0.017435004,0.064247343,Erebia.epipsodea,9
gf26,0.356474991,0.827945665,0.578337476,0.629245384,0.021780714,0.072688623,Erebia.epipsodea,10
gf45,0.356474991,0.827945665,0.578337476,0.629056542,0.026291046,0.077010112,Erebia.epipsodea,10
