model,cor.pasm,auc.pasm,oldRange,newRange,areaLoss,areaGain,iter,cor.current,cor.future
he26,0.378104124,0.871903728,0.42784827,0.440358038,0.032388751,0.044898519,9,0.59679009,0.533820037
he45,0.378104124,0.871903728,0.42784827,0.452185532,0.03212117,0.056458432,9,0.59679009,0.544081505
he85,0.378104124,0.871903728,0.42784827,0.449969998,0.041977445,0.064099172,9,0.59679009,0.522888014
mg26,0.378104124,0.871903728,0.42784827,0.440556194,0.018422755,0.031130678,9,0.59679009,0.607672554
mg45,0.378104124,0.871903728,0.42784827,0.450461283,0.018486469,0.041099482,9,0.59679009,0.590757109
mg85,0.378104124,0.871903728,0.42784827,0.460366371,0.018550184,0.051068285,9,0.59679009,0.573841664
mp26,0.378104124,0.871903728,0.42784827,0.445271258,0.024377108,0.041800095,9,0.59679009,0.563906171
mp45,0.378104124,0.871903728,0.42784827,0.450514248,0.024607155,0.047273132,9,0.59679009,0.584059993
mp85,0.378104124,0.871903728,0.42784827,0.457896125,0.027326989,0.057374843,9,0.59679009,0.563492536
gf26,0.331133035,0.815140095,0.404522101,0.377973225,0.054389891,0.027841015,10,0.526733682,0.398504215
gf45,0.331133035,0.815140095,0.404522101,0.379289365,0.052754713,0.027521977,10,0.526733682,0.361701163
gf85,0.331133035,0.815140095,0.404522101,0.394706765,0.050414282,0.040598947,10,0.526733682,0.388597728
he26,0.331133035,0.815140095,0.404522101,0.418784344,0.035688461,0.049950704,10,0.526733682,0.450006622
he45,0.331133035,0.815140095,0.404522101,0.420322609,0.039985361,0.055785869,10,0.526733682,0.460578149
he85,0.331133035,0.815140095,0.404522101,0.417300669,0.050521569,0.063300137,10,0.526733682,0.43502869
mg26,0.331133035,0.815140095,0.404522101,0.42446547,0.016701985,0.036645355,10,0.526733682,0.484450043
mg45,0.331133035,0.815140095,0.404428535,0.4254057,0.025882784,0.046859949,10,0.526733682,0.508205368
mg85,0.331133035,0.815140095,0.407404985,0.413792527,0.041774797,0.048162339,10,0.526733682,0.519903162
mp26,0.331133035,0.815140095,0.404522101,0.426127145,0.023075309,0.044680354,10,0.526733682,0.480196589
mp45,0.331133035,0.815140095,0.404522101,0.418465302,0.02994541,0.043888611,10,0.526733682,0.501632406
mp85,0.331133035,0.815140095,0.404522101,0.43311257,0.028615616,0.057206085,10,0.526733682,0.456193664
