lon,lat,acceptedScientificName
-123.467178,48.464235,Sedum spathulifolium Hook.
-135.114587,60.693357,Sedum lanceolatum Torr.
-122.379297,41.22307,Sedum L.
-121.519972,46.90663,Sedum lanceolatum Torr.
-115.127053,50.753004,Sedum lanceolatum Torr.
-120.000778,38.702372,Sedum lanceolatum Torr.
-120.936852,49.030807,Sedum lanceolatum Torr.
-117.473588,48.925073,Sedum lanceolatum Torr.
-119.26705,38.02147,Sedum obtusatum A.Gray
-128.5829,60.018283,Sedum lanceolatum Torr.
-105.694471,39.49158,Sedum lanceolatum Torr.
-123.711268,41.983195,Sedum obtusatum A.Gray
-135.041767,60.70142,Sedum lanceolatum Torr.
-115.314811,50.983575,Sedum lanceolatum Torr.
-119.615425,37.565178,Sedum obtusatum A.Gray
-134.88479,60.661665,Sedum lanceolatum Torr.
-120.323617,39.318328,Sedum obtusatum A.Gray
